parent,Element1,Element2,Judgement
PricePerDay,360,290,4
PricePerDay,290,260,1
PricePerDay,290,190,1
PricePerDay,300,290,1
PricePerDay,290,220,1
PricePerDay,580,290,6
PricePerDay,390,290,4
PricePerDay,290,240,1
PricePerDay,400,290,4
PricePerDay,290,250,3
PricePerDay,360,260,3
PricePerDay,360,190,5
PricePerDay,360,300,3
PricePerDay,360,220,5
PricePerDay,580,360,5
PricePerDay,390,360,1
PricePerDay,360,240,4
PricePerDay,400,360,2
PricePerDay,360,250,2
PricePerDay,260,190,1
PricePerDay,300,260,2
PricePerDay,260,220,2
PricePerDay,580,260,5
PricePerDay,390,260,2
PricePerDay,260,240,1
PricePerDay,400,260,5
PricePerDay,260,250,1
PricePerDay,300,190,3
PricePerDay,220,190,2
PricePerDay,580,190,8
PricePerDay,390,190,3
PricePerDay,240,190,2
PricePerDay,400,190,4
PricePerDay,250,190,2
PricePerDay,300,220,1
PricePerDay,580,300,7
PricePerDay,390,300,3
PricePerDay,300,240,1
PricePerDay,400,300,2
PricePerDay,300,250,2
PricePerDay,580,220,7
PricePerDay,390,220,5
PricePerDay,240,220,2
PricePerDay,400,220,3
PricePerDay,250,220,1
PricePerDay,580,390,4
PricePerDay,580,240,6
PricePerDay,580,400,5
PricePerDay,580,250,7
PricePerDay,390,240,5
PricePerDay,400,390,1
PricePerDay,390,250,3
PricePerDay,400,240,5
PricePerDay,250,240,2
PricePerDay,400,250,4
Deposit,1700,1500,1
Deposit,1500,1400,1
Deposit,1500,1000,4
Deposit,2000,1500,1
Deposit,3000,1500,6
Deposit,1700,1400,2
Deposit,1700,1000,2
Deposit,2000,1700,1
Deposit,3000,1700,5
Deposit,1400,1000,3
Deposit,2000,1400,3
Deposit,3000,1400,7
Deposit,2000,1000,4
Deposit,3000,1000,8
Deposit,3000,2000,3
EnginePower,8,6,4
EnginePower,6,5,1
EnginePower,6,4,3
EnginePower,10,6,4
EnginePower,12,6,6
EnginePower,8,5,3
EnginePower,8,4,4
EnginePower,10,8,3
EnginePower,12,8,5
EnginePower,5,4,2
EnginePower,10,5,6
EnginePower,12,5,7
EnginePower,10,4,6
EnginePower,12,4,9
EnginePower,12,10,3
SailArea,31,30,3
SailArea,30,26,3
SailArea,30,29,2
SailArea,30,27,2
SailArea,39,30,6
SailArea,32,30,3
SailArea,31,26,3
SailArea,31,29,3
SailArea,31,27,3
SailArea,39,31,7
SailArea,32,31,2
SailArea,29,26,4
SailArea,27,26,2
SailArea,39,26,8
SailArea,32,26,3
SailArea,29,27,1
SailArea,39,29,8
SailArea,32,29,4
SailArea,39,27,6
SailArea,32,27,3
SailArea,39,32,6
Width,270,255,1
Width,280,270,1
Width,270,252,4
Width,274,270,1
Width,286,270,3
Width,307,270,5
Width,270,249,4
Width,280,255,5
Width,255,252,1
Width,274,255,4
Width,286,255,6
Width,307,255,8
Width,255,249,3
Width,280,252,4
Width,280,274,1
Width,286,280,1
Width,307,280,4
Width,280,249,5
Width,274,252,4
Width,286,252,7
Width,307,252,7
Width,252,249,1
Width,286,274,1
Width,307,274,6
Width,274,249,3
Width,307,286,4
Width,286,249,7
Width,307,249,7
